flight_id,status,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,arrival_airport,city,timezone,model,range,ticket_no,amount,fare_conditions,boarding_no,seat_no,book_ref,passenger_id,book_date,total_amount
136250,Arrived,2017-02-08T10:05:00Z,2017-02-08T11:45:00Z,2017-02-08T10:06:00Z,2017-02-08T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435489609   ,12200.00,Economy,10,4A,30D4BE,3026 443851,2017-01-20T12:45:00Z,140800.00
136284,Arrived,2017-02-07T10:05:00Z,2017-02-07T11:45:00Z,2017-02-07T10:07:00Z,2017-02-07T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435489606   ,12200.00,Economy,92,4A,F4ED71,4123 121871,2017-01-22T09:25:00Z,106400.00
136282,Arrived,2017-01-16T10:05:00Z,2017-01-16T11:45:00Z,2017-01-16T10:07:00Z,2017-01-16T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350141   ,12200.00,Economy,52,4A,A6135A,4447 383386,2016-12-21T12:38:00Z,25600.00
136486,Arrived,2017-02-02T10:05:00Z,2017-02-02T11:45:00Z,2017-02-02T10:07:00Z,2017-02-02T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350804   ,12200.00,Economy,12,4A,4C90AF,0121 483429,2017-01-03T15:17:00Z,48800.00
136351,Arrived,2017-02-26T10:05:00Z,2017-02-26T11:45:00Z,2017-02-26T10:13:00Z,2017-02-26T11:53:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432352197   ,12200.00,Economy,65,4A,B8A8B5,0269 353905,2017-01-31T18:35:00Z,74400.00
136146,Arrived,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,2017-02-09T10:08:00Z,2017-02-09T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172205   ,12200.00,Economy,78,4A,F15FBC,2618 527721,2017-01-29T13:04:00Z,24400.00
136269,Arrived,2017-02-11T10:05:00Z,2017-02-11T11:45:00Z,2017-02-11T10:13:00Z,2017-02-11T11:53:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172257   ,12200.00,Economy,33,4A,448AED,7952 427447,2017-01-30T10:52:00Z,48800.00
136132,Arrived,2017-02-15T10:05:00Z,2017-02-15T11:45:00Z,2017-02-15T10:09:00Z,2017-02-15T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172366   ,12200.00,Economy,20,4A,E95041,6189 669683,2017-01-30T20:46:00Z,48800.00
136439,Arrived,2017-02-25T10:05:00Z,2017-02-25T11:45:00Z,2017-02-25T10:08:00Z,2017-02-25T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172647   ,12200.00,Economy,38,4A,D53C58,2415 271477,2017-02-11T16:17:00Z,24400.00
136452,Arrived,2017-02-17T10:05:00Z,2017-02-17T11:45:00Z,2017-02-17T10:08:00Z,2017-02-17T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147726   ,12200.00,Economy,36,4A,49D71E,5373 354699,2017-02-03T20:24:00Z,48400.00
136320,Arrived,2017-02-19T10:05:00Z,2017-02-19T11:45:00Z,2017-02-19T10:05:00Z,2017-02-19T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147753   ,12200.00,Economy,84,4A,9E7185,0483 602924,2017-02-02T12:22:00Z,36400.00
136420,Arrived,2017-01-01T10:05:00Z,2017-01-01T11:45:00Z,2017-01-01T10:09:00Z,2017-01-01T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147167   ,12200.00,Economy,20,4A,A6DA2A,8323 359477,2016-12-16T19:53:00Z,109200.00
136316,Arrived,2017-01-12T10:05:00Z,2017-01-12T11:45:00Z,2017-01-12T10:07:00Z,2017-01-12T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147304   ,12200.00,Economy,80,4A,9D5CF8,9193 646049,2016-12-26T16:19:00Z,72800.00
136387,Arrived,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147378   ,12200.00,Economy,17,4A,DE9600,7608 510593,2016-12-31T09:59:00Z,37000.00
136293,Arrived,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147433   ,12200.00,Economy,106,4A,70A1B2,0965 711059,2017-01-09T13:32:00Z,170000.00
136266,Arrived,2017-02-27T10:05:00Z,2017-02-27T11:45:00Z,2017-02-27T10:08:00Z,2017-02-27T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147846   ,12200.00,Economy,17,4A,261ABB,2967 593814,2017-02-09T15:21:00Z,48400.00
136389,Arrived,2017-01-18T10:05:00Z,2017-01-18T11:45:00Z,2017-01-18T10:10:00Z,2017-01-18T11:50:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333529   ,12200.00,Economy,40,4A,8CC39A,6799 695800,2016-12-28T17:05:00Z,48400.00
136178,Arrived,2017-01-29T10:05:00Z,2017-01-29T11:45:00Z,2017-01-29T10:10:00Z,2017-01-29T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333651   ,12200.00,Economy,30,4A,3AA358,5025 483674,2017-01-02T10:28:00Z,36400.00
136181,Arrived,2017-01-31T10:05:00Z,2017-01-31T11:45:00Z,2017-01-31T10:05:00Z,2017-01-31T11:44:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333681   ,12200.00,Economy,42,4A,8219E1,7143 864672,2017-01-10T13:34:00Z,109200.00
136479,Arrived,2017-02-21T10:05:00Z,2017-02-21T11:45:00Z,2017-02-21T10:08:00Z,2017-02-21T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435172522   ,12200.00,Economy,85,4A,FB7E97,0749 378126,2017-02-04T02:57:00Z,48800.00
136159,Arrived,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349495   ,12200.00,Economy,86,4A,00EC70,5896 429582,2016-12-06T14:54:00Z,48800.00
136202,Arrived,2017-01-05T10:05:00Z,2017-01-05T11:45:00Z,2017-01-05T10:07:00Z,2017-01-05T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349583   ,12200.00,Economy,39,4A,2BEDAA,5635 792806,2016-12-12T08:43:00Z,50000.00
136463,Arrived,2017-01-20T10:05:00Z,2017-01-20T11:45:00Z,2017-01-20T10:06:00Z,2017-01-20T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350300   ,12200.00,Economy,48,4A,6F814C,2544 128974,2016-12-24T10:27:00Z,48800.00
136131,Arrived,2017-01-28T10:05:00Z,2017-01-28T11:45:00Z,2017-01-28T10:07:00Z,2017-01-28T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350738   ,12200.00,Economy,8,4A,FA77C4,8565 980808,2017-01-04T12:00:00Z,24400.00
136226,Arrived,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350876   ,12200.00,Economy,115,4A,3B04B3,9409 483242,2017-01-03T23:38:00Z,24400.00
136411,Arrived,2017-02-04T10:05:00Z,2017-02-04T11:45:00Z,2017-02-04T10:06:00Z,2017-02-04T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333752   ,12200.00,Economy,16,4A,0F2B95,9992 107257,2017-01-11T16:16:00Z,96800.00
136423,Arrived,2017-01-10T10:05:00Z,2017-01-10T11:45:00Z,2017-01-10T10:12:00Z,2017-01-10T11:52:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349939   ,12200.00,Economy,56,4A,B3E3B8,3414 003254,2016-12-14T16:55:00Z,98800.00
136441,Arrived,2017-02-03T10:05:00Z,2017-02-03T11:45:00Z,2017-02-03T10:07:00Z,2017-02-03T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147560   ,12200.00,Economy,60,4A,E96F6F,7971 935584,2017-01-17T03:40:00Z,48400.00
136471,Arrived,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350353   ,12200.00,Economy,4,4A,9B8253,3652 926440,2016-12-24T08:14:00Z,48800.00
136383,Arrived,2017-01-25T10:05:00Z,2017-01-25T11:45:00Z,2017-01-25T10:09:00Z,2017-01-25T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350582   ,12200.00,Economy,73,4A,5A6637,2990 325841,2016-12-31T01:43:00Z,48800.00
136436,Arrived,2017-01-26T10:05:00Z,2017-01-26T11:45:00Z,2017-01-26T10:08:00Z,2017-01-26T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350628   ,12200.00,Economy,55,4A,5492E0,9521 812591,2017-01-03T23:47:00Z,24400.00
136268,Arrived,2017-02-16T10:05:00Z,2017-02-16T11:45:00Z,2017-02-16T10:08:00Z,2017-02-16T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351860   ,12200.00,Economy,10,4A,5B71A4,9530 876792,2017-01-23T23:45:00Z,24400.00
136403,Arrived,2017-02-20T10:05:00Z,2017-02-20T11:45:00Z,2017-02-20T10:06:00Z,2017-02-20T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351990   ,12200.00,Economy,58,4A,9A4FFC,7286 436982,2017-01-23T01:15:00Z,122000.00
136270,Arrived,2017-02-12T10:05:00Z,2017-02-12T11:45:00Z,2017-02-12T10:12:00Z,2017-02-12T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351464   ,12200.00,Economy,12,4A,87CDDB,6073 776539,2017-01-17T23:09:00Z,48800.00
136249,Arrived,2017-02-14T10:05:00Z,2017-02-14T11:45:00Z,2017-02-14T10:08:00Z,2017-02-14T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351511   ,12200.00,Economy,73,4A,FD5EB4,8369 116561,2017-01-18T23:03:00Z,24400.00
136165,Arrived,2017-02-22T10:05:00Z,2017-02-22T11:45:00Z,2017-02-22T10:11:00Z,2017-02-22T11:52:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351848   ,12200.00,Economy,27,4A,2742FB,8339 270063,2017-01-26T21:51:00Z,123200.00
136204,Arrived,2017-02-23T10:05:00Z,2017-02-23T11:45:00Z,2017-02-23T10:06:00Z,2017-02-23T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432352149   ,12200.00,Economy,23,4A,E2C956,7942 425782,2017-01-29T04:26:00Z,24400.00
136215,Arrived,2017-02-28T10:05:00Z,2017-02-28T11:45:00Z,2017-02-28T10:09:00Z,2017-02-28T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432352376   ,12200.00,Economy,27,4A,C48456,9612 129851,2017-02-08T12:08:00Z,73200.00
136348,Arrived,2017-02-10T10:05:00Z,2017-02-10T11:45:00Z,2017-02-10T10:05:00Z,2017-02-10T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435722710   ,12200.00,Economy,75,4A,FBCB7E,0620 711885,2017-01-29T05:13:00Z,48000.00
136428,Arrived,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432052141   ,12200.00,Economy,102,4A,699AA1,0695 201777,2017-01-07T08:31:00Z,12200.00
136135,Arrived,2017-02-01T10:05:00Z,2017-02-01T11:45:00Z,2017-02-01T10:08:00Z,2017-02-01T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333623   ,12200.00,Economy,63,4A,688C05,8927 964744,2017-01-05T08:53:00Z,36400.00
136360,Arrived,2017-02-05T10:05:00Z,2017-02-05T11:45:00Z,2017-02-05T10:08:00Z,2017-02-05T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333698   ,12200.00,Economy,43,4A,BC041E,0270 401821,2017-01-07T17:25:00Z,96800.00
136120,Arrived,2017-02-24T10:05:00Z,2017-02-24T11:45:00Z,2017-02-24T10:07:00Z,2017-02-24T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333966   ,12200.00,Economy,54,4A,0EC1A7,6352 634230,2017-01-31T22:05:00Z,48400.00
136458,Arrived,2017-01-02T10:05:00Z,2017-01-02T11:45:00Z,2017-01-02T10:07:00Z,2017-01-02T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349530   ,12200.00,Economy,98,4A,BF9404,2552 813538,2016-12-10T08:41:00Z,48800.00
136209,Arrived,2017-01-06T10:05:00Z,2017-01-06T11:45:00Z,2017-01-06T10:09:00Z,2017-01-06T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349664   ,12200.00,Economy,75,4A,8910D1,6260 953840,2016-12-14T08:21:00Z,24400.00
136164,Arrived,2017-01-07T10:05:00Z,2017-01-07T11:45:00Z,2017-01-07T10:07:00Z,2017-01-07T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349625   ,12200.00,Economy,104,4A,F73C7E,2647 124222,2016-12-08T14:36:00Z,48800.00
136275,Arrived,2017-01-13T10:05:00Z,2017-01-13T11:45:00Z,2017-01-13T10:08:00Z,2017-01-13T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349784   ,12200.00,Economy,60,4A,6A17DD,4998 838776,2016-12-11T11:39:00Z,48800.00
136366,Arrived,2017-01-11T10:05:00Z,2017-01-11T11:45:00Z,2017-01-11T10:08:00Z,2017-01-11T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349847   ,12200.00,Economy,71,4A,89E4DC,8980 519510,2016-12-12T12:07:00Z,48800.00
136172,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350211   ,12200.00,Economy,85,4A,D65778,7022 084866,2016-12-23T04:45:00Z,50000.00
136345,Arrived,2017-01-24T10:05:00Z,2017-01-24T11:45:00Z,2017-01-24T13:32:00Z,2017-01-24T15:12:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350688   ,12200.00,Economy,65,4A,AC8FB8,5536 522662,2017-01-02T10:34:00Z,24400.00
136387,Arrived,2017-01-19T10:05:00Z,2017-01-19T11:45:00Z,2017-01-19T10:08:00Z,2017-01-19T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5435489536   ,12200.00,Economy,33,4B,034390,1350 764550,2017-01-06T12:29:00Z,196400.00
136423,Arrived,2017-01-10T10:05:00Z,2017-01-10T11:45:00Z,2017-01-10T10:12:00Z,2017-01-10T11:52:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333441   ,12200.00,Economy,127,4B,D906E1,6500 586713,2016-12-18T09:46:00Z,73400.00
136226,Arrived,2017-01-30T10:05:00Z,2017-01-30T11:45:00Z,2017-01-30T10:08:00Z,2017-01-30T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333686   ,12200.00,Economy,71,4B,30D46A,6761 868809,2017-01-11T07:57:00Z,108800.00
136458,Arrived,2017-01-02T10:05:00Z,2017-01-02T11:45:00Z,2017-01-02T10:07:00Z,2017-01-02T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349420   ,12200.00,Economy,108,4B,EF630E,2271 831340,2016-12-06T06:10:00Z,98800.00
136119,Arrived,2017-01-03T10:05:00Z,2017-01-03T11:45:00Z,2017-01-03T10:08:00Z,2017-01-03T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349539   ,12200.00,Economy,56,4B,C87E61,6870 846936,2016-12-09T18:13:00Z,73200.00
136159,Arrived,2017-01-04T10:05:00Z,2017-01-04T11:45:00Z,2017-01-04T10:07:00Z,2017-01-04T11:45:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5434147204   ,12200.00,Economy,82,4B,19E8D7,7956 232505,2016-12-24T15:37:00Z,36400.00
136428,Arrived,2017-01-21T10:05:00Z,2017-01-21T11:45:00Z,2017-01-21T10:08:00Z,2017-01-21T11:47:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432333577   ,12200.00,Economy,44,4B,ED5EC4,5015 619918,2016-12-27T12:07:00Z,98600.00
136471,Arrived,2017-01-17T10:05:00Z,2017-01-17T11:45:00Z,2017-01-17T10:11:00Z,2017-01-17T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350162   ,12200.00,Economy,116,4B,B6CEB1,2685 556436,2016-12-21T06:27:00Z,50000.00
136215,Arrived,2017-02-28T10:05:00Z,2017-02-28T11:45:00Z,2017-02-28T10:09:00Z,2017-02-28T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432334039   ,12200.00,Economy,70,4B,1C846E,7645 261573,2017-02-06T08:02:00Z,123400.00
136185,Arrived,2017-01-14T10:05:00Z,2017-01-14T11:45:00Z,2017-01-14T10:06:00Z,2017-01-14T11:49:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432349877   ,12200.00,Economy,25,4B,177850,8015 624296,2016-12-17T04:21:00Z,73200.00
136172,Arrived,2017-01-15T10:05:00Z,2017-01-15T11:45:00Z,2017-01-15T10:05:00Z,2017-01-15T11:44:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350340   ,12200.00,Economy,98,4B,53217D,8727 747247,2016-12-26T16:34:00Z,73200.00
136293,Arrived,2017-01-23T10:05:00Z,2017-01-23T11:45:00Z,2017-01-23T10:09:00Z,2017-01-23T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432350485   ,12200.00,Economy,104,4B,AB2CEA,0026 470850,2016-12-28T17:33:00Z,48800.00
136270,Arrived,2017-02-12T10:05:00Z,2017-02-12T11:45:00Z,2017-02-12T10:12:00Z,2017-02-12T11:51:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351568   ,12200.00,Economy,11,4B,BF13CD,2231 194697,2017-01-17T09:31:00Z,73200.00
136269,Arrived,2017-02-11T10:05:00Z,2017-02-11T11:45:00Z,2017-02-11T10:13:00Z,2017-02-11T11:53:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351670   ,12200.00,Economy,34,4B,DC3892,1711 542290,2017-01-24T03:19:00Z,48800.00
136204,Arrived,2017-02-23T10:05:00Z,2017-02-23T11:45:00Z,2017-02-23T10:06:00Z,2017-02-23T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432352175   ,12200.00,Economy,12,4B,63C0AE,9471 798555,2017-02-02T08:03:00Z,50000.00
136266,Arrived,2017-02-27T10:05:00Z,2017-02-27T11:45:00Z,2017-02-27T10:08:00Z,2017-02-27T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432352278   ,12200.00,Economy,27,4B,FA65E6,2863 262355,2017-01-31T11:24:00Z,48800.00
136146,Arrived,2017-02-09T10:05:00Z,2017-02-09T11:45:00Z,2017-02-09T10:08:00Z,2017-02-09T11:48:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351467   ,12200.00,Economy,76,4B,9FFD1D,8393 097305,2017-01-15T02:38:00Z,122000.00
136249,Arrived,2017-02-14T10:05:00Z,2017-02-14T11:45:00Z,2017-02-14T10:08:00Z,2017-02-14T11:46:00Z,SVO,Moscow,Europe/Moscow,Boeing 737-300,4200,5432351636   ,12200.00,Economy,56,4B,5E550C,0461 831817,2017-01-20T05:20:00Z,24400.00
